epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.164171,0.578002,0.586169,0.076473,1.361980,0.890083,0.471898,0.096927,1.668155,0.890401
1,0.976158,0.562006,0.414152,0.101951,1.246722,0.883867,0.362855,0.117951,1.656330,0.883707
2,0.867524,0.557035,0.310490,0.118374,1.141132,0.878108,0.263024,0.132980,1.645346,0.877844
3,0.780400,0.554283,0.226117,0.134275,1.069387,0.873135,0.196252,0.149507,1.636355,0.873411
4,0.725438,0.551460,0.173978,0.146969,1.029199,0.869697,0.159502,0.159541,1.628313,0.869549
5,0.695104,0.549477,0.145627,0.155486,1.008426,0.866997,0.141429,0.164079,1.622221,0.866979
6,0.677786,0.547555,0.130231,0.159128,0.994026,0.862797,0.131230,0.164760,1.611582,0.863112
7,0.667310,0.546252,0.121058,0.164451,0.986062,0.862167,0.123895,0.173289,1.611321,0.861948
8,0.660043,0.544763,0.115280,0.169896,0.979776,0.861123,0.118653,0.173788,1.606964,0.861081
9,0.654437,0.543567,0.110870,0.173341,0.974167,0.859637,0.114531,0.178291,1.603863,0.859475
10,0.649368,0.541915,0.107454,0.176804,0.971421,0.858513,0.112908,0.180727,1.602117,0.858515
11,0.645341,0.541068,0.104273,0.181165,0.967619,0.857564,0.110054,0.186415,1.604249,0.857771
12,0.641724,0.539820,0.101904,0.185829,0.966057,0.858706,0.107351,0.190504,1.602829,0.858173
13,0.638892,0.538998,0.099894,0.189117,0.964419,0.857865,0.106554,0.192558,1.602481,0.857773
0,1.159136,0.578051,0.581084,0.078925,1.369379,0.891433,0.477946,0.097947,1.671764,0.891760
1,0.977007,0.562139,0.414868,0.103806,1.248551,0.885533,0.363018,0.118270,1.659443,0.885376
2,0.865099,0.557723,0.307377,0.118273,1.144088,0.879593,0.264495,0.130261,1.646084,0.879332
3,0.781400,0.554881,0.226519,0.132484,1.072076,0.873912,0.198165,0.144275,1.635788,0.874188
4,0.726939,0.552013,0.174925,0.144806,1.030204,0.870296,0.159908,0.156140,1.627585,0.870151
5,0.695667,0.549777,0.145890,0.156342,1.006827,0.865801,0.141026,0.161793,1.616058,0.865779
6,0.677178,0.547228,0.129950,0.162173,0.991989,0.862608,0.129381,0.166853,1.609186,0.862902
7,0.666285,0.545781,0.120504,0.167698,0.985017,0.863113,0.121905,0.172405,1.611850,0.862898
8,0.658884,0.544496,0.114388,0.174236,0.978793,0.862449,0.116344,0.180293,1.609396,0.862410
9,0.653098,0.543205,0.109893,0.180983,0.973729,0.860837,0.112892,0.187329,1.603491,0.860662
10,0.647576,0.541558,0.106018,0.186995,0.970216,0.859630,0.110586,0.192331,1.602689,0.859619
11,0.643896,0.540871,0.103025,0.191587,0.967679,0.859345,0.108334,0.195956,1.605274,0.859565
12,0.640646,0.539679,0.100967,0.195502,0.967687,0.861199,0.106488,0.200034,1.605007,0.860642
13,0.638214,0.538930,0.099285,0.199313,0.964183,0.858744,0.105439,0.202217,1.599906,0.858680
14,0.635345,0.537587,0.097758,0.202585,0.961703,0.858302,0.103402,0.205286,1.602776,0.858214
15,0.633352,0.536846,0.096506,0.206833,0.961435,0.858223,0.103212,0.209642,1.605440,0.858352
16,0.631264,0.535485,0.095778,0.209904,0.960608,0.858080,0.102528,0.212672,1.605618,0.858164
17,0.629188,0.534217,0.094972,0.214151,0.960221,0.858466,0.101755,0.218032,1.603851,0.859055
18,0.628204,0.533949,0.094255,0.217468,0.957401,0.856520,0.100881,0.221280,1.601738,0.856550
19,0.626347,0.532790,0.093557,0.221052,0.960737,0.860361,0.100376,0.222228,1.610660,0.860090
20,0.626019,0.532877,0.093142,0.224865,0.958804,0.857195,0.101609,0.227359,1.597530,0.857075
