epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.352931,2.171335,0.162026,0.179970,0.000551,2.312171,2.144234,0.165263,0.166284,"tensor(0.3568, device='cuda:1')","tensor([0.0000, 0.9429, 0.1591, 0.3864, 0.6897, 1.0000, 0.3750, 0.1000, 0.1379],
       device='cuda:1')","tensor(0.3667, device='cuda:1')","tensor(0.5159, device='cuda:1')"
1,2.292196,2.116204,0.172013,0.174270,0.000163,2.252493,2.087356,0.187382,0.163263,"tensor(0.6000, device='cuda:1')","tensor([0.2903, 0.9143, 0.5909, 0.7273, 0.9655, 1.0000, 0.7500, 0.0800, 0.3793],
       device='cuda:1')","tensor(0.5854, device='cuda:1')","tensor(0.7328, device='cuda:1')"
2,2.233559,2.063721,0.199598,0.167840,0.000148,2.189910,2.029967,0.222889,0.157714,"tensor(0.7297, device='cuda:1')","tensor([0.5806, 0.9429, 0.8068, 0.9091, 1.0000, 1.0000, 0.9000, 0.0800, 0.5172],
       device='cuda:1')","tensor(0.6959, device='cuda:1')","tensor(0.7825, device='cuda:1')"
3,2.171359,2.008770,0.248149,0.160107,0.000142,2.121841,1.968238,0.281774,0.150786,"tensor(0.7892, device='cuda:1')","tensor([0.8710, 0.9429, 0.8750, 0.9545, 1.0000, 1.0000, 1.0000, 0.0800, 0.5517],
       device='cuda:1')","tensor(0.7524, device='cuda:1')","tensor(0.8161, device='cuda:1')"
4,2.105791,1.950341,0.321360,0.152234,0.000129,2.046315,1.899130,0.360562,0.143579,"tensor(0.8216, device='cuda:1')","tensor([0.9355, 0.9429, 0.8864, 0.9773, 1.0000, 1.0000, 1.0000, 0.1800, 0.6552],
       device='cuda:1')","tensor(0.7954, device='cuda:1')","tensor(0.8387, device='cuda:1')"
5,2.036020,1.887830,0.405003,0.144138,0.000126,1.969452,1.827991,0.432696,0.137134,"tensor(0.8297, device='cuda:1')","tensor([0.9355, 0.9429, 0.9091, 0.9773, 1.0000, 1.0000, 1.0000, 0.1800, 0.6897],
       device='cuda:1')","tensor(0.8025, device='cuda:1')","tensor(0.8417, device='cuda:1')"
6,1.967867,1.825536,0.469617,0.137633,0.000120,1.894401,1.757991,0.483094,0.131579,"tensor(0.8324, device='cuda:1')","tensor([0.9355, 0.9714, 0.9091, 0.9773, 1.0000, 1.0000, 1.0000, 0.1800, 0.6897],
       device='cuda:1')","tensor(0.8034, device='cuda:1')","tensor(0.8396, device='cuda:1')"
7,1.902193,1.765164,0.503278,0.131995,0.000119,1.822688,1.690503,0.507568,0.127109,"tensor(0.8378, device='cuda:1')","tensor([0.9355, 0.9429, 0.9205, 0.9773, 1.0000, 1.0000, 1.0000, 0.2000, 0.7241],
       device='cuda:1')","tensor(0.8094, device='cuda:1')","tensor(0.8401, device='cuda:1')"
8,1.840569,1.707517,0.521624,0.127835,0.000117,1.754081,1.625798,0.519875,0.123084,"tensor(0.8568, device='cuda:1')","tensor([0.9677, 0.9714, 0.9318, 0.9773, 1.0000, 1.0000, 1.0000, 0.2800, 0.7241],
       device='cuda:1')","tensor(0.8337, device='cuda:1')","tensor(0.8564, device='cuda:1')"
9,1.781690,1.652089,0.523299,0.124367,0.000119,1.691184,1.566407,0.518976,0.119588,"tensor(0.8703, device='cuda:1')","tensor([1.0000, 0.9714, 0.9318, 0.9773, 1.0000, 1.0000, 1.0000, 0.3600, 0.7241],
       device='cuda:1')","tensor(0.8526, device='cuda:1')","tensor(0.8695, device='cuda:1')"
10,1.726604,1.600040,0.521526,0.121348,0.000119,1.633450,1.511653,0.514397,0.116653,"tensor(0.8865, device='cuda:1')","tensor([1.0000, 0.9714, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.4200, 0.7931],
       device='cuda:1')","tensor(0.8725, device='cuda:1')","tensor(0.8815, device='cuda:1')"
11,1.674536,1.550826,0.518032,0.118529,0.000117,1.576905,1.457987,0.508515,0.113832,"tensor(0.8946, device='cuda:1')","tensor([1.0000, 0.9714, 0.9432, 1.0000, 1.0000, 1.0000, 1.0000, 0.4600, 0.7931],
       device='cuda:1')","tensor(0.8817, device='cuda:1')","tensor(0.8877, device='cuda:1')"
12,1.624066,1.503119,0.505964,0.115886,0.000115,1.524882,1.408519,0.504387,0.111319,"tensor(0.9081, device='cuda:1')","tensor([1.0000, 0.9714, 0.9545, 1.0000, 1.0000, 1.0000, 1.0000, 0.5200, 0.8276],
       device='cuda:1')","tensor(0.8964, device='cuda:1')","tensor(0.8988, device='cuda:1')"
13,1.577097,1.458298,0.496600,0.113832,0.000110,1.473669,1.359976,0.493522,0.108758,"tensor(0.9243, device='cuda:1')","tensor([1.0000, 0.9714, 0.9773, 1.0000, 1.0000, 1.0000, 1.0000, 0.5800, 0.8621],
       device='cuda:1')","tensor(0.9140, device='cuda:1')","tensor(0.9149, device='cuda:1')"
